date,sp500,btc,ln_sp500,ln_btc
7/1/17,2423.409912,2434.550049,7.792930882,7.797517234
7/2/17,2423.409912,2506.469971,7.792930882,7.826630656
7/3/17,2429.01001,2564.060059,7.79523905,7.849347242
7/4/17,2429.01001,2601.639893,7.79523905,7.863897253
7/5/17,2432.540039,2601.98999,7.796691274,7.864031812
7/6/17,2409.75,2608.560059,7.787278287,7.866553647
7/7/17,2425.179932,2518.659912,7.793660999,7.831482258
7/8/17,2425.179932,2571.340088,7.793660999,7.852182477
7/9/17,2425.179932,2518.439941,7.793660999,7.831394918
7/10/17,2427.429932,2372.560059,7.794588335,7.771724845
7/11/17,2425.530029,2337.790039,7.793805348,7.756961334
7/12/17,2443.25,2398.840088,7.801084399,7.782740603
7/13/17,2447.830078,2357.899902,7.802957229,7.76552663
7/14/17,2459.27002,2233.340088,7.807619845,7.711253541
7/15/17,2459.27002,1998.859985,7.807619845,7.60033229
7/16/17,2459.27002,1929.819946,7.807619845,7.565181985
7/17/17,2459.139893,2228.409912,7.807566931,7.709043566
7/18/17,2460.610107,2318.879883,7.808164609,7.748839539
7/19/17,2473.830078,2273.429932,7.813522867,7.729044953
7/20/17,2473.449951,2817.600098,7.813369196,7.943640773
7/21/17,2472.540039,2667.76001,7.813001257,7.888994452
7/22/17,2472.540039,2810.120117,7.813001257,7.940982508
7/23/17,2472.540039,2730.399902,7.813001257,7.912203362
7/24/17,2469.909912,2754.860107,7.811936956,7.921121942
7/25/17,2477.129883,2576.47998,7.814855864,7.854179398
7/26/17,2477.830078,2529.449951,7.815138488,7.835757147
7/27/17,2475.419922,2671.780029,7.814165326,7.890500207
7/28/17,2472.100098,2809.01001,7.81282331,7.940587391
7/29/17,2472.100098,2726.449951,7.81282331,7.910755658
7/30/17,2472.100098,2757.179932,7.81282331,7.921963673
7/31/17,2470.300049,2875.340088,7.8120949,7.963926238
8/1/17,2476.350098,2718.26001,7.81454102,7.907747252
8/2/17,2477.570068,2710.669922,7.815033548,7.904951087
8/3/17,2472.159912,2804.72998,7.812847506,7.93906255
8/4/17,2476.830078,2895.889893,7.814734827,7.971047732
8/5/17,2476.830078,3252.909912,7.814734827,8.087305232
8/6/17,2476.830078,3213.939941,7.814734827,8.075252859
8/7/17,2480.909912,3378.939941,7.816380672,8.125317312
8/8/17,2474.919922,3419.939941,7.81396332,8.137378269
8/9/17,2474.02002,3342.469971,7.813599645,8.114465325
8/10/17,2438.209961,3381.280029,7.799019427,8.126009624
8/11/17,2441.320068,3650.620117,7.800294183,8.202652327
8/12/17,2441.320068,3884.709961,7.800294183,8.264803604
8/13/17,2441.320068,4073.26001,7.800294183,8.312198943
8/14/17,2465.840088,4325.129883,7.810287835,8.37219745
8/15/17,2464.610107,4181.930176,7.809788902,8.338528184
8/16/17,2468.110107,4376.629883,7.811207998,8.384034274
8/17/17,2430.01001,4331.689941,7.795650656,8.373713031
8/18/17,2425.550049,4160.620117,7.793813602,8.333419409
8/19/17,2425.550049,4193.700195,7.793813602,8.341338725
8/20/17,2425.550049,4087.659912,7.793813602,8.315727937
8/21/17,2428.370117,4001.73999,7.794975578,8.294484543
8/22/17,2452.51001,4100.52002,7.804867273,8.318869079
8/23/17,2444.040039,4151.52002,7.801407703,8.331229816
8/24/17,2438.969971,4334.680176,7.799331086,8.374403109
8/25/17,2443.050049,4371.600098,7.801002558,8.382884376
8/26/17,2443.050049,4352.399902,7.801002558,8.378482674
8/27/17,2443.050049,4382.879883,7.801002558,8.385461295
8/28/17,2444.23999,4382.660156,7.801489511,8.385411161
8/29/17,2446.300049,4579.02002,7.802331978,8.429240285
8/30/17,2457.590088,4565.299805,7.80693651,8.426239466
8/31/17,2471.649902,4703.390137,7.812641183,8.456038833
9/1/17,2476.550049,4892.009766,7.814621761,8.495358493
9/2/17,2476.550049,4578.77002,7.814621761,8.429185686
9/3/17,2476.550049,4582.959961,7.814621761,8.430100348
9/4/17,2476.550049,4236.310059,7.814621761,8.3514479
9/5/17,2457.850098,4376.529785,7.807042303,8.384011403
9/6/17,2465.540039,4597.120117,7.810166145,8.433185325
9/7/17,2465.100098,4599.879883,7.809987693,8.43378547
9/8/17,2461.429932,4228.75,7.808497733,8.34966172
9/9/17,2461.429932,4226.060059,7.808497733,8.34902541
9/10/17,2461.429932,4122.939941,7.808497733,8.324321766
9/11/17,2488.110107,4161.27002,7.819278708,8.3335756
9/12/17,2496.47998,4130.810059,7.822637011,8.326228807
9/13/17,2498.370117,3882.590088,7.823393845,8.264257758
9/14/17,2495.620117,3154.949951,7.822292521,8.056727911
9/15/17,2500.22998,3637.52002,7.824137999,8.199057415
9/16/17,2500.22998,3625.040039,7.824137999,8.195620612
9/17/17,2500.22998,3582.879883,7.824137999,8.183922193
9/18/17,2503.870117,4065.199951,7.825592861,8.310218209
9/19/17,2506.649902,3924.969971,7.82670244,8.275113979
9/20/17,2508.23999,3905.949951,7.827336587,8.270256298
9/21/17,2500.600098,3631.040039,7.824286021,8.197274398
9/22/17,2502.219971,3630.699951,7.824933605,8.197180733
9/23/17,2502.219971,3792.399902,7.824933605,8.240754317
9/24/17,2502.219971,3682.840088,7.824933605,8.211439497
9/25/17,2496.659912,3926.070068,7.822709082,8.275394222
9/26/17,2496.840088,3892.350098,7.822781247,8.266768392
9/27/17,2507.040039,4200.669922,7.826858069,8.342999297
9/28/17,2510.060059,4174.72998,7.82806196,8.33680496
9/29/17,2519.360107,4163.069824,7.831760222,8.33400802
9/30/17,2519.360107,4338.709961,7.831760222,8.375332339
10/1/17,2519.360107,4403.740234,7.831760222,8.390209512
10/2/17,2529.120117,4409.319824,7.835626741,8.391475722
10/3/17,2534.580078,4317.47998,7.837783253,8.370427173
10/4/17,2537.73999,4229.359863,7.839029196,8.349805928
10/5/17,2552.070068,4328.410156,7.8446601,8.372955584
10/6/17,2549.330078,4370.810059,7.843585889,8.382703639
10/7/17,2549.330078,4426.890137,7.843585889,8.395452616
10/8/17,2549.330078,4610.47998,7.843585889,8.436087248
10/9/17,2544.72998,4772.02002,7.841779825,8.470524979
10/10/17,2550.639893,4781.990234,7.844099545,8.472612106
10/11/17,2555.23999,4826.47998,7.845901428,8.481872698
10/12/17,2550.929932,5446.910156,7.844213251,8.602803783
10/13/17,2553.169922,5647.209961,7.845090973,8.63891689
10/14/17,2553.169922,5831.790039,7.845090973,8.671079271
10/15/17,2553.169922,5678.189941,7.845090973,8.644387789
10/16/17,2557.639893,5725.589844,7.846840195,8.652700853
10/17/17,2559.360107,5605.509766,7.847512548,8.63150528
10/18/17,2561.26001,5590.689941,7.848254608,8.628857983
10/19/17,2562.100098,5708.52002,7.848582552,8.649715078
10/20/17,2575.209961,6011.450195,7.853686348,8.701421295
10/21/17,2575.209961,6031.600098,7.853686348,8.704767611
10/22/17,2575.209961,6008.419922,7.853686348,8.700917085
10/23/17,2564.97998,5930.319824,7.849705953,8.687833424
10/24/17,2569.129883,5526.640137,7.851322554,8.61733534
10/25/17,2557.149902,5750.799805,7.846648598,8.657094221
10/26/17,2560.399902,5904.830078,7.847918737,8.683525952
10/27/17,2581.070068,5780.899902,7.855959347,8.662314642
10/28/17,2581.070068,5753.089844,7.855959347,8.657492354
10/29/17,2581.070068,6153.850098,7.855959347,8.724833197
10/30/17,2572.830078,6130.529785,7.85276177,8.72103645
10/31/17,2575.26001,6468.399902,7.853705783,8.774684047
11/1/17,2579.360107,6767.310059,7.855296627,8.819858954
11/2/17,2579.850098,7078.5,7.855486575,8.8648173
11/3/17,2587.840088,7207.759766,7.858578864,8.88291347
11/4/17,2587.840088,7379.950195,7.858578864,8.906522169
11/5/17,2587.840088,7407.410156,7.858578864,8.910236151
11/6/17,2591.129883,7022.759766,7.859849308,8.856911549
11/7/17,2590.639893,7144.379883,7.859660187,8.874081296
11/8/17,2594.379883,7459.689941,7.861102801,8.917269129
11/9/17,2584.620117,7143.580078,7.857333819,8.873969341
11/10/17,2582.300049,6618.140137,7.856435773,8.797569663
11/11/17,2582.300049,6357.600098,7.856435773,8.757406242
11/12/17,2582.300049,5950.069824,7.856435773,8.691158234
11/13/17,2584.840088,6559.490234,7.857418924,8.788668171
11/14/17,2578.870117,6635.75,7.855106643,8.800226977
11/15/17,2564.620117,7315.540039,7.849565644,8.897756137
11/16/17,2585.639893,7871.689941,7.857728297,8.97102805
11/17/17,2578.850098,7708.990234,7.85509888,8.95014249
11/18/17,2578.850098,7790.149902,7.85509888,8.960615382
11/19/17,2578.850098,8036.490234,7.85509888,8.991747729
11/20/17,2582.139893,8200.639648,7.85637375,9.011967436
11/21/17,2599.030029,8071.259766,7.862893589,8.996064854
11/22/17,2597.080078,8253.549805,7.862143046,9.018398666
11/23/17,2597.080078,8038.77002,7.862143046,8.992031368
11/24/17,2602.419922,8253.69043,7.86419703,9.018415704
11/25/17,2602.419922,8790.919922,7.86419703,9.081474641
11/26/17,2602.419922,9330.549805,7.86419703,9.141049221
11/27/17,2601.419922,9818.349609,7.863812699,9.192008323
11/28/17,2627.040039,10058.79981,7.873613031,9.216203133
11/29/17,2626.070068,9888.610352,7.873243737,9.199138904
11/30/17,2647.580078,10233.59961,7.881401324,9.233431665
12/1/17,2642.219971,10975.59961,7.879374741,9.303429871
12/2/17,2642.219971,11074.59961,7.879374741,9.312409442
12/3/17,2642.219971,11323.2002,7.879374741,9.334609015
12/4/17,2639.439941,11657.2002,7.87832203,9.363679311
12/5/17,2629.570068,11916.7002,7.87457564,9.385696073
12/6/17,2629.27002,14291.5,7.874461528,9.567420234
12/7/17,2636.97998,17899.69922,7.877389594,9.792539188
12/8/17,2651.5,16569.40039,7.882880797,9.715312923
12/9/17,2651.5,15178.2002,7.882880797,9.62761548
12/10/17,2651.5,15455.40039,7.882880797,9.645713761
12/11/17,2659.98999,16936.80078,7.886077639,9.737244094
12/12/17,2664.110107,17415.40039,7.887625362,9.765110174
12/13/17,2662.850098,16408.19922,7.887152294,9.705536441
12/14/17,2652.01001,16564,7.883073126,9.714986945
12/15/17,2675.810059,17706.90039,7.892007439,9.781709695
12/16/17,2675.810059,19497.40039,7.892007439,9.878036422
12/17/17,2675.810059,19140.80078,7.892007439,9.859577502
12/18/17,2690.159912,19114.19922,7.897355918,9.858186752
12/19/17,2681.469971,17776.69922,7.89412042,9.785643846
12/20/17,2679.25,16624.59961,7.893292184,9.718638782
12/21/17,2684.570068,15802.90039,7.89527587,9.667948771
12/22/17,2683.340088,13831.79981,7.894817599,9.534725554
12/23/17,2683.340088,14699.2002,7.894817599,9.595548363
12/24/17,2683.340088,13925.79981,7.894817599,9.5414985
12/25/17,2683.340088,14026.59961,7.894817599,9.548710778
12/26/17,2680.5,16099.79981,7.893758623,9.686562116
12/27/17,2682.620117,15838.5,7.894549252,9.670198964
12/28/17,2687.540039,14606.5,7.896381571,9.589221914
12/29/17,2673.610107,14656.2002,7.891184938,9.592618746
12/30/17,2673.610107,12952.2002,7.891184938,9.469020952
12/31/17,2673.610107,14156.40039,7.891184938,9.557922125
1/1/18,2673.610107,13657.2002,7.891184938,9.522022148
1/2/18,2695.810059,14982.09961,7.899454017,9.614611408
1/3/18,2713.060059,15201,7.90583245,9.629116494
1/4/18,2723.98999,15599.2002,7.909852993,9.654974922
1/5/18,2743.149902,17429.5,7.916862138,9.765919452
1/6/18,2743.149902,17527,7.916862138,9.771497828
1/7/18,2743.149902,16477.59961,7.916862138,9.709757138
1/8/18,2747.709961,15170.09961,7.918523102,9.627081639
1/9/18,2751.290039,14595.40039,7.919825186,9.588461716
1/10/18,2748.22998,14973.29981,7.91871234,9.614023881
1/11/18,2767.560059,13405.79981,7.925721366,9.503442714
1/12/18,2786.23999,13980.59961,7.932448292,9.545425905
1/13/18,2786.23999,14360.2002,7.932448292,9.572215784
1/14/18,2786.23999,13772,7.932448292,9.530392824
1/15/18,2786.23999,13819.79981,7.932448292,9.533857611
1/16/18,2776.419922,11490.5,7.928917579,9.349275886
1/17/18,2802.560059,11188.59961,7.938288585,9.322650647
1/18/18,2798.030029,11474.90039,7.936670887,9.347917354
1/19/18,2810.300049,11607.40039,7.941046536,9.359398138
1/20/18,2810.300049,12899.2002,7.941046536,9.464920588
1/21/18,2810.300049,11600.09961,7.941046536,9.358768964
1/22/18,2832.969971,10931.40039,7.9490809,9.299394697
1/23/18,2839.129883,10868.40039,7.951252905,9.293614811
1/24/18,2837.540039,11359.40039,7.950692772,9.337800908
1/25/18,2839.25,11259.40039,7.951295212,9.328958649
1/26/18,2872.870117,11171.40039,7.96306685,9.321112255
1/27/18,2872.870117,11440.7002,7.96306685,9.344932469
1/28/18,2872.870117,11786.29981,7.96306685,9.374693102
1/29/18,2853.530029,11296.40039,7.956312113,9.332239404
1/30/18,2822.429932,10106.29981,7.945353471,9.220914251
1/31/18,2823.810059,10221.09961,7.945842337,9.232209452
2/1/18,2821.97998,9170.540039,7.945194038,9.123751455
2/2/18,2762.129883,8830.75,7.923757358,9.085995228
2/3/18,2762.129883,9174.910156,7.923757358,9.124227881
2/4/18,2762.129883,8277.009766,7.923757358,9.021237043
2/5/18,2648.939941,6955.27002,7.881914817,8.847254927
2/6/18,2695.139893,7754,7.89920539,8.955964118
2/7/18,2681.659912,7621.299805,7.894191252,8.938702212
